ticker,date,target
NFLX,2021-04-26,0
PLTR,2021-04-27,0
MDB,2021-04-27,0
GS,2021-04-27,1
WMT,2021-04-27,0
MS,2021-04-27,1
TGT,2021-04-27,1
GOOGL,2021-04-27,1
V,2021-04-27,1
EBAY,2021-04-27,1
NOW,2021-04-27,0
INTC,2021-04-27,0
DDOG,2021-04-27,0
DXCM,2021-04-27,1
QCOM,2021-04-27,0
JPM,2021-04-27,1
WFC,2021-04-27,0
MA,2021-04-27,1
AMZN,2021-04-27,1
NET,2021-04-27,0
ISRG,2021-04-27,1
NVDA,2021-04-27,0
AAPL,2021-04-27,0
MSFT,2021-04-27,0
ABNB,2021-04-27,1
META,2021-04-27,1
NFLX,2021-04-27,1
MU,2021-04-27,0
BLK,2021-04-27,0
AMD,2021-04-27,0
TSLA,2021-04-27,0
ENPH,2021-04-27,0
CRM,2021-04-27,1
AMAT,2021-04-27,0
COST,2021-04-27,0
PYPL,2021-04-27,1
SHOP,2021-04-27,1
BAC,2021-04-27,1
FSLR,2021-04-27,0
AVGO,2021-04-27,0
SNOW,2021-04-27,0
UNH,2021-04-27,1
BAC,2021-04-28,1
V,2021-04-28,1
AMZN,2021-04-28,1
QCOM,2021-04-28,1
MSFT,2021-04-28,0
COST,2021-04-28,1
META,2021-04-28,1
MS,2021-04-28,1
GOOGL,2021-04-28,1
PLTR,2021-04-28,0
TSLA,2021-04-28,0
NOW,2021-04-28,0
ENPH,2021-04-28,0
INTC,2021-04-28,1
SNOW,2021-04-28,0
BLK,2021-04-28,1
NFLX,2021-04-28,1
MU,2021-04-28,1
AMAT,2021-04-28,0
AAPL,2021-04-28,0
ISRG,2021-04-28,0
NET,2021-04-28,0
ABNB,2021-04-28,0
MA,2021-04-28,0
WFC,2021-04-28,1
JPM,2021-04-28,1
NVDA,2021-04-28,1
SHOP,2021-04-28,0
AMD,2021-04-28,0
PYPL,2021-04-28,0
EBAY,2021-04-28,0
AVGO,2021-04-28,1
GS,2021-04-28,1
CRM,2021-04-28,0
MDB,2021-04-28,0
WMT,2021-04-28,1
DDOG,2021-04-28,0
FSLR,2021-04-28,0
UNH,2021-04-28,1
DXCM,2021-04-28,0
TGT,2021-04-28,1
PLTR,2021-04-29,0
MDB,2021-04-29,0
JPM,2021-04-29,0
PYPL,2021-04-29,0
NET,2021-04-29,0
COST,2021-04-29,0
AMZN,2021-04-29,0
TSLA,2021-04-29,1
AAPL,2021-04-29,0
META,2021-04-29,0
MU,2021-04-29,0
DXCM,2021-04-29,0
AMD,2021-04-29,0
SHOP,2021-04-29,0
TGT,2021-04-29,0
CRM,2021-04-29,0
QCOM,2021-04-29,0
FSLR,2021-04-29,0
WMT,2021-04-29,1
DDOG,2021-04-29,0
UNH,2021-04-29,0
AVGO,2021-04-29,0
AMAT,2021-04-29,0
EBAY,2021-04-29,0
GS,2021-04-29,0
ENPH,2021-04-29,0
SNOW,2021-04-29,1
BLK,2021-04-29,0
NFLX,2021-04-29,1
NOW,2021-04-29,1
V,2021-04-29,0
MS,2021-04-29,0
INTC,2021-04-29,0
WFC,2021-04-29,0
GOOGL,2021-04-29,0
MA,2021-04-29,0
MSFT,2021-04-29,0
ABNB,2021-04-29,0
BAC,2021-04-29,0
NVDA,2021-04-29,0
ISRG,2021-04-29,1
NET,2021-04-30,0
FSLR,2021-04-30,0
DDOG,2021-04-30,0
UNH,2021-04-30,1
ABNB,2021-04-30,0
AVGO,2021-04-30,0
WMT,2021-04-30,1
INTC,2021-04-30,0
ENPH,2021-04-30,0
QCOM,2021-04-30,0
SHOP,2021-04-30,0
AMD,2021-04-30,0
BLK,2021-04-30,1
JPM,2021-04-30,0
NFLX,2021-04-30,0
MU,2021-04-30,0
META,2021-04-30,0
DXCM,2021-04-30,0
ISRG,2021-04-30,1
NVDA,2021-04-30,0
MA,2021-04-30,0
SNOW,2021-04-30,0
WFC,2021-04-30,1
AAPL,2021-04-30,1
PYPL,2021-04-30,0
CRM,2021-04-30,0
V,2021-04-30,0
MS,2021-04-30,0
AMZN,2021-04-30,0
PLTR,2021-04-30,0
COST,2021-04-30,1
GOOGL,2021-04-30,0
GS,2021-04-30,1
BAC,2021-04-30,1
TSLA,2021-04-30,0
MDB,2021-04-30,0
TGT,2021-04-30,1
MSFT,2021-04-30,0
EBAY,2021-04-30,1
AMAT,2021-04-30,1
NOW,2021-04-30,0
MSFT,2021-05-03,0
MA,2021-05-03,0
V,2021-05-03,0
ENPH,2021-05-03,0
AMD,2021-05-03,1
MS,2021-05-03,1
SHOP,2021-05-03,1
BAC,2021-05-03,1
GOOGL,2021-05-03,0
QCOM,2021-05-03,0
WFC,2021-05-03,1
NET,2021-05-03,0
ISRG,2021-05-03,0
TSLA,2021-05-03,0
JPM,2021-05-03,1
NVDA,2021-05-03,0
SNOW,2021-05-03,0
ABNB,2021-05-03,1
TGT,2021-05-03,1
DDOG,2021-05-03,0
DXCM,2021-05-03,0
UNH,2021-05-03,1
CRM,2021-05-03,0
EBAY,2021-05-03,0
WMT,2021-05-03,0
AVGO,2021-05-03,0
AAPL,2021-05-03,0
